Route,Layout,Page Archetype,Component Family Used,Responsive Status,Loading State,Empty State,Error State,Keyboard Status,Screenshot Status,Migration Priority
/(dashboard)/sms/scheduled,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sms/send,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sms/templates,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/sms/variables,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/support,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/wallet,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/wallet/pricing,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/(dashboard)/wallet/transactions,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/api/docs,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/cookies,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/design-system/colors,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/design-system/components,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/design-system/data-display,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/design-system/feedback,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/design-system/forms,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/design-system,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/design-system/typography,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/privacy,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
/terms,layout.tsx,TBD,Radix/Tailwind,TBD,TBD,TBD,TBD,TBD,Pending,P0
